Polynomial fitting of Ghost by single and double cubic function
h	k	l	Level	LimitDist	AA	BB	CC	DD	Chi-square	A0	B0	C0	D0	Xj	A1	B1	C1	D1	Xl	Chi-square
1	1	1	1	172.050380217620	1.000004267089	-2.979843958988	2.959522521746	-0.979665360161	0.000001574993	1.000000000000	-2.950530837240	-0.149023550048	26.492827550993	0.005578000000	1.000074459947	-2.980370237333	2.960574785576	-0.980279008190	1.000000000000	0.000020431030
2	1	0	1	111.803398874990	1.000001354754	-1.499969283199	0.499707764861	0.000218419377	0.000000178769	1.000000000000	-1.499995281960	0.499843990634	0.000082044638	0.929944000000	-0.121317306125	2.003779532245	-3.148842638022	1.266380411902	1.000000000000	0.000576343036
2	1	1	1	122.474487139159	1.000004143715	-1.999719762899	1.249126467990	-0.249417497174	0.000001513565	1.000000000000	-1.987518048243	0.642058049053	7.751128806589	0.028400000000	1.000048717379	-2.000037886101	1.249720403262	-0.249731234540	1.000000000000	0.000514101896
2	2	1	1	149.250000000228	1.000004191937	-2.487282146026	1.979291713303	-0.491996332532	0.000001534756	1.000000000000	-2.467015289351	-0.051214325937	69.745801917556	0.009507000000	1.000074416410	-2.487808490058	1.980343883800	-0.492609810152	1.000000000000	0.000020719344
3	1	0	1	105.409255338946	1.000001310681	-1.333284958476	0.333012472082	0.000221527706	0.000000178291	1.000000000000	-1.333260094087	0.332957987164	0.000237802189	0.842999000000	0.932766345357	-1.111722514608	0.089876171265	0.089079997985	1.000000000000	0.000652181366
3	1	1	1	110.554159678513	1.000004029277	-1.666344047643	0.776831266622	-0.110505984308	0.000001458111	1.000000000000	-1.658561021867	0.527632961335	1.758348091316	0.041399000000	1.000036580470	-1.666574949465	0.777244030014	-0.110705661019	1.000000000000	0.000680050872
3	2	0	1	120.185042515466	1.000001378697	-1.666653504120	0.666402932326	0.000215349971	0.000000177269	1.000000000000	-1.666627661076	0.666338905817	0.000247078582	0.834000000000	0.957568054005	-1.526179340508	0.511591870838	0.057019415665	1.000000000000	0.000562104285
3	2	1	1	124.721912892465	1.000004089317	-1.999719503418	1.221344159509	-0.221635395322	0.000001482982	1.000000000000	-1.989260737830	0.767337703449	4.631027924517	0.029000000000	1.000048586049	-2.000038224603	1.221939784121	-0.221950145567	1.000000000000	0.000513007611
3	2	2	1	137.436854187255	1.000004203701	-2.333095380771	1.776985496510	-0.443892853710	0.000001542794	1.000000000000	-2.314695158225	0.373766855367	29.515081231069	0.017799000000	1.000058690181	-2.333490690657	1.777745397101	-0.444313396625	1.000000000000	0.000343365771
3	3	1	1	144.570148294320	1.000004116724	-2.321427733231	1.649233156396	-0.327792051104	0.000001492190	1.000000000000	-2.305024343550	0.096757289546	53.978727481345	0.012349000000	1.000074434511	-2.321954733344	1.650286672646	-0.328406373812	1.000000000000	0.000020948246
